,RT,VPL,VI,NLL,SG,VLPO,IF,ACVII,ZI,PSV,PARN,MG,SGN,V,SPFp,PO,VCO,VPM,SPVI,NDB,LGv,LAV,LT,POL,SPVO,LGd,GPi,SUT,MA,PB,APN,IGL,NOT,VM,VAL,GPe,ISN,SUV,DCO
LGv,0.0006180525082682743,0.0007264431255298603,1.2582073734347426e-09,7.816570638117255e-08,1.4547326390367407e-08,1.3540770991374526e-05,6.465874947497488e-07,1.5642785005416087e-11,0.00020736317057397263,9.981448154912195e-08,1.6413617364697126e-07,0.0023568615346934193,0.00013828600804706534,4.229178952437508e-09,0.0005242376166727282,4.017597195927917e-05,1.99384320052625e-06,0.0007171347056123166,4.371766732810321e-08,1.6869739346503288e-05,4.534842954542085e-05,1.2855227574373526e-07,3.839638582278996e-05,7.552666871073104e-05,1.889645789016117e-08,0.001046399718494409,4.054499335189636e-05,6.407934305878473e-10,3.1057520463062845e-06,5.5066339293781986e-08,1.0753349473037877e-05,1.700775657585354e-05,2.107986628763136e-05,1.5213875900353956e-06,7.475346322826771e-07,0.0003145420903212004,6.503365113921941e-29,1.8436748071928854e-08,8.81015546995274e-07
LAV,4.254925830136386e-06,0.00012300574746944613,0.0046316668603775535,2.7207857569688467e-06,8.160963041945428e-05,5.2896221755206294e-06,2.668456470195491e-06,8.454910403743568e-05,2.381529607216672e-05,7.103417653035992e-05,0.0004313310382528247,3.694115864598536e-06,4.5414335695409385e-07,0.0001507715985253587,0.00010385196113930098,3.915675346883183e-05,4.0943603885399156e-05,2.828167548376676e-06,0.0002586582959617486,2.160211677586276e-05,2.4417973260354426e-07,0.006201736005434604,1.1130194652196921e-06,2.7990675632468565e-06,0.0007070980194015438,7.04321106611995e-08,1.7353051666923309e-06,9.311252766132751e-05,1.1600499806991543e-06,0.00016599028792009386,3.950508787875149e-05,3.7180114788464726e-07,1.37979430675192e-06,4.989460241944502e-05,4.530153089680642e-05,3.838919803007446e-07,0.0006498097751675884,0.0008447916871244097,9.715539853660755e-05
LT,0.00017710347601061386,0.00018585322571327659,4.526563133834196e-07,1.1828583248463353e-05,5.753806629931685e-06,5.9899775521684547e-05,3.3965345690177416e-05,3.0305307190536553e-05,0.0006137044195873218,5.49476775040316e-06,6.471693763130704e-05,0.0004546261804288412,0.0007002319484185518,4.6818244542106784e-05,0.0016975847923564882,0.0001198794237580618,5.853914825213001e-07,0.00010657255744215463,1.127987605400765e-06,4.032163820643054e-05,1.4792777865738593e-05,3.2641062622060514e-07,0.0003922979908516013,0.00134721496386209,7.1628573434631335e-06,6.191806580277682e-06,0.0004214491371486708,0.0001595600793736836,2.8030968852758496e-05,0.00014969737692830968,0.00026065395746363606,6.8229380431939786e-06,3.446801657341016e-05,0.0004274679409965234,0.0002091988351739733,0.0002862629312343268,1.9385915520065922e-05,6.628388210333606e-07,3.5340399904102485e-07
POL,0.0005167940876602996,0.0006081648991404724,1.347334871766587e-06,4.092240797615484e-07,1.5693862797842053e-05,1.1140632204398793e-05,2.4113780046450268e-06,1.2627836543219836e-07,0.0002802647091598434,1.1593716569780649e-08,3.300876151371045e-08,0.0020524295774784567,0.0022262854112440203,1.0290825646813428e-07,0.0004947064381928097,0.0004383148157334902,4.645130245222414e-07,0.0004269006689711678,9.659108328165318e-09,1.964643944936473e-05,9.30807568459964e-05,3.122651819471578e-07,8.214076521198603e-05,0.000727664734382117,1.3175273955185601e-08,0.00023841168952067114,3.605888027559608e-05,6.884688220641253e-07,4.288016095404457e-06,8.151304165062986e-07,0.00020507318429983324,4.765925966294574e-05,8.487645716827168e-05,2.978482331418716e-05,1.6081870914425593e-05,0.0003333435613634773,5.266929668882656e-19,1.2194988681710258e-07,4.881984685987839e-07
SPVO,1.1060991740508078e-06,1.5989120133548646e-05,0.000504483855158774,2.0640135670132645e-05,1.2316572834790182e-05,1.563068817105181e-06,5.460896901356317e-06,0.0007684850035860277,8.080771029615971e-06,0.0003665139463183207,0.0011067476129828146,2.2221483508185787e-06,5.820372923469764e-07,0.0007637829266739732,3.5642713941805545e-05,6.984329793881343e-06,0.00021628584539117293,1.2053291657615783e-06,0.000375390369807757,5.473896984603427e-06,1.2984600425009286e-07,0.0005696417085021711,7.463269239979015e-07,4.873926669453556e-06,0.0008761814599659867,8.613198213059822e-08,6.624314068145829e-07,0.0006193032639501418,4.774704765420079e-07,0.0004406132865750844,1.4460973392112372e-05,6.933250307131477e-08,7.694916131764294e-07,1.3853125306297891e-05,1.1867720073566546e-05,2.5986822793773925e-07,0.0018279730545473856,0.0002170649507755694,0.00011828688092661192
LGd,0.0007990048603970818,7.251557891226415e-05,4.2829789383133664e-08,1.0384510614781137e-07,4.964618519358145e-07,9.938183954841721e-07,1.0494476368075623e-07,7.114631417076927e-10,2.4013871569602445e-05,8.039894846844987e-09,3.948173986343094e-09,0.0002501597636066488,0.0005042040133110037,3.3407050064844514e-09,4.6052219411960794e-05,4.2515026613006695e-05,1.5065266871588562e-07,0.00010353244107829079,4.700045595936544e-09,2.4398766125420033e-06,0.00015953365378234866,1.5362381606147823e-08,1.1097023242113828e-05,0.00012263679986444258,3.0422599026250487e-09,0.0036509739637476733,3.6068273265379508e-06,2.1858493681522883e-08,2.706072208316771e-07,3.691667509474422e-08,2.0587212540609493e-05,4.575113411883216e-05,7.599423034811892e-05,9.229048041924148e-07,1.250084206336018e-06,4.64393495763657e-05,6.405253249479828e-29,4.185379863547774e-09,1.2931665127151948e-07
GPi,0.0005423970426740301,6.22131850052144e-05,6.8724911736231076e-12,2.7694994889602864e-07,9.413101169578965e-13,9.0189092994356e-06,3.949804801098496e-06,1.0363596374549969e-05,0.0001418691855813751,1.6623019032096531e-06,3.034728249895853e-05,1.8392504711479889e-06,6.9698321060692e-07,1.823605131888826e-05,7.563089596639203e-05,4.088956354981522e-05,1.0800838339245807e-06,2.2130141900531307e-05,4.884133413335997e-07,8.730915186286053e-05,5.23283040368098e-06,1.927606960577105e-07,1.1175734454883396e-05,1.7588634671269534e-05,8.897777227867569e-07,4.5767744552167935e-08,0.0005246249114504918,4.4797146962064315e-05,0.0004937874975377988,7.115406932134386e-05,8.290422048772717e-06,3.1093153506182434e-08,1.2415291874707877e-06,0.00021700342137771135,0.00025185621759306077,0.0006567555452366438,3.2678891636933094e-06,1.6817096114660234e-07,2.894281202113792e-07
SUT,3.845080910208624e-06,8.043946533424659e-06,0.00017148274153199687,0.00031459095395489696,0.00010877522246781667,2.6669681526570982e-05,3.1364209866491224e-05,0.0004352767841512214,5.188399770378595e-05,0.0006569200635752376,0.00017768930143722872,3.744107126203189e-05,6.304600571894048e-05,0.0004366437799705007,0.00013906430757787926,1.1711728022904235e-05,0.00030605627289871195,8.094697837757598e-06,7.270869131284408e-05,2.174092021373091e-05,3.7875163967481714e-06,0.00019014243011550376,3.0282817304191992e-05,0.00011808134840960444,0.00011982511717621465,6.965169354925754e-07,2.0815214282941353e-05,0.0012676684037055829,8.995294337655087e-06,0.0007828717943024932,5.115454521734445e-05,3.0743183188778824e-06,3.383754675412625e-06,3.4639839906387195e-05,1.00650632360044e-05,8.314382270840103e-06,0.0001271923377095731,0.0001621788814608627,0.0006986110417400108
MA,7.744254814303316e-05,3.7568869794909173e-06,1.0056611694638041e-06,1.0157526021867798e-07,5.154300483693808e-06,1.8897505878065135e-05,7.757281350126195e-05,1.286974297131711e-06,4.1037803335499956e-05,5.30733248216069e-07,1.0213583042690581e-05,4.6070228393700427e-07,3.3638350804364017e-09,5.66605904887004e-06,1.0560602634401103e-05,5.342988662919955e-07,3.685284240996346e-07,1.2386046257417712e-07,1.7540786691835635e-07,0.0004493710755347249,4.1564127522552464e-07,2.197780495943946e-09,8.822500369178004e-10,1.6588446293301598e-06,3.210442967164465e-07,9.563142032216694e-08,6.055379751721448e-05,1.5226945146410004e-05,0.0016174118712663967,2.515045178519665e-05,8.544746036144906e-07,1.6600281029408298e-10,3.775406932479531e-07,4.343554330068844e-05,4.477095796891092e-06,5.383310568787477e-05,1.1983363970354522e-06,8.454260294974996e-11,7.54795180178496e-08
PB,9.308116013065616e-06,1.3267057682283846e-05,0.00011211914171617877,7.660246134298508e-05,6.59049220305664e-05,0.00010817914884095015,8.529583513108777e-05,0.00026464817600228456,0.00011370589380589849,0.0003519377660081088,0.00014733214350544512,2.477705530774229e-05,3.954562538825868e-05,0.0004430438146518217,0.000191343298360768,1.755288467143501e-05,0.0004377538174460354,5.668874960457613e-06,4.996994677408877e-05,5.134181845846259e-05,9.916614494505593e-06,0.00028741435541395364,4.943851667937369e-05,8.491165447854645e-05,9.886346559375858e-05,2.0145221038446098e-06,7.276724644878616e-05,0.0008774834679453424,3.170920190338069e-05,0.0012039246572302766,5.284973400911654e-05,1.0511071231909483e-05,6.432422941046998e-06,6.48214224420484e-05,1.3382080340817712e-05,2.317033519525271e-05,0.00018482712644256671,0.00022460127041535748,0.0008388045340578487
